player_id	player	region_id	challenge_id	score	time_seconds	date
ted	Ted	nunavik	zO2pp9YgiW0nlnuW	25000	572	2026-08-01
ted	Ted	nunavik	oldNunavikTest123	24980	1200	2026-07-01
ted	Ted	kabylie	iyFklmzRrjlCos6O	24760	1040	2026-08-01
ted	Ted	inupiat	inupiatFakeChallenge001	25000	830	2026-08-01
ted	Ted	nunatsiavut	nunatsiavutFakeChallenge001	18230	1180	2026-08-01
ted	Ted	capeverde	KeMKi5Kza6jC7plG	25000	430	2026-08-01
anna	Anna	nunavik	zO2pp9YgiW0nlnuW	23120	1320	2026-08-01
anna	Anna	kabylie	iyFklmzRrjlCos6O	25000	970	2026-08-01
anna	Anna	inupiat	inupiatFakeChallenge001	6120	1410	2026-08-01
anna	Anna	nunatsiavut	nunatsiavutFakeChallenge001	22580	1160	2026-08-01
anna	Anna	capeverde	KeMKi5Kza6jC7plG	14980	1470	2026-08-01
